row_type,format,material,surface,uv_lak,kachering,gloss_caching,quantity,eur,dkk_base,tier_multiplier,dkk_final,source_material,inferred_from_quantity,detail_url
base_surface,A6,115g hochwertiger Qualitätsdruck,Gloss,,,,50,30.37,227.775,1.6,364,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-wickelfalz-6seitig.html
base_surface,A6,115g hochwertiger Qualitätsdruck,Gloss,,,,100,38.34,287.55,1.6,460,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-wickelfalz-6seitig.html
base_surface,A6,115g hochwertiger Qualitätsdruck,Gloss,,,,250,48.75,365.625,1.6,585,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-wickelfalz-6seitig.html
base_surface,A6,115g hochwertiger Qualitätsdruck,Gloss,,,,500,51.57,386.775,1.6,619,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-wickelfalz-6seitig.html
base_surface,A6,115g hochwertiger Qualitätsdruck,Gloss,,,,1000,53.55,401.625,1.6,643,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-wickelfalz-6seitig.html
base_surface,A6,115g hochwertiger Qualitätsdruck,Gloss,,,,1500,73.99,554.925,1.6,888,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-wickelfalz-6seitig.html
base_surface,A6,115g hochwertiger Qualitätsdruck,Gloss,,,,2000,81.73,612.975,1.6,981,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-wickelfalz-6seitig.html
base_surface,A6,115g hochwertiger Qualitätsdruck,Gloss,,,,2500,85.96,644.7,1.6,1032,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-wickelfalz-6seitig.html
base_surface,A6,115g hochwertiger Qualitätsdruck,Gloss,,,,3000,98.01,735.075,1.6,1176,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-wickelfalz-6seitig.html
base_surface,A6,115g hochwertiger Qualitätsdruck,Gloss,,,,4000,122.43,918.225,1.6,1469,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-wickelfalz-6seitig.html
base_surface,A6,115g hochwertiger Qualitätsdruck,Gloss,,,,5000,146.06,1095.45,1.6,1753,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-wickelfalz-6seitig.html
base_surface,A6,115g hochwertiger Qualitätsdruck,Gloss,,,,6000,171.79,1288.425,1.6,2061,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-wickelfalz-6seitig.html
base_surface,A6,115g hochwertiger Qualitätsdruck,Gloss,,,,7000,198.04,1485.3,1.6,2376,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-wickelfalz-6seitig.html
base_surface,A6,115g hochwertiger Qualitätsdruck,Gloss,,,,8000,223.52,1676.4,1.6,2682,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-wickelfalz-6seitig.html
base_surface,A6,115g hochwertiger Qualitätsdruck,Gloss,,,,9000,248.63,1864.725,1.6,2984,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-wickelfalz-6seitig.html
base_surface,A6,115g hochwertiger Qualitätsdruck,Gloss,,,,10000,274.15,2056.125,1.5,3084,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-wickelfalz-6seitig.html
base_surface,A6,115g hochwertiger Qualitätsdruck,Gloss,,,,12000,274.15,2056.125,1.5,3084,115g hochwertiger Qualitätsdruck glänzend,10000,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-wickelfalz-6seitig.html
base_surface,A6,115g hochwertiger Qualitätsdruck,Gloss,,,,15000,372.87,2796.525,1.5,4195,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-wickelfalz-6seitig.html
base_surface,A6,115g hochwertiger Qualitätsdruck,Gloss,,,,20000,492.97,3697.275,1.5,5546,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-wickelfalz-6seitig.html
base_surface,A6,115g hochwertiger Qualitätsdruck,Matt,,,,50,30.37,227.775,1.6,364,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-wickelfalz-6seitig.html
base_surface,A6,115g hochwertiger Qualitätsdruck,Matt,,,,100,38.34,287.55,1.6,460,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-wickelfalz-6seitig.html
base_surface,A6,115g hochwertiger Qualitätsdruck,Matt,,,,250,48.68,365.1,1.6,584,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-wickelfalz-6seitig.html
