source_index,quantity,eur,dkk_base,tier_multiplier,dkk_final,li_text
0,50,38.12,285.9,1.5,429,"50 Stück (38,12 Euro netto)"
1,100,53.09,398.175,1.5,597,"100 Stück (53,09 Euro netto)"
2,150,68.06,510.45,1.5,766,"150 Stück (68,06 Euro netto)"
3,200,83.02,622.65,1.5,934,"200 Stück (83,02 Euro netto)"
4,250,101.09,758.175,1.5,1137,"250 Stück (101,09 Euro netto)"
5,500,178.31,1337.325,1.5,2006,"500 Stück (178,31 Euro netto)"
6,750,262.34,1967.55,1.5,2951,"750 Stück (262,34 Euro netto)"
7,1000,292.15,2191.125,1.5,3287,"1000 Stück (292,15 Euro netto)"
8,1500,450.72,3380.4,1.4,4733,"1500 Stück (450,72 Euro netto)"
9,2000,488.1,3660.75,1.4,5125,"2000 Stück (488,10 Euro netto)"
10,2500,525.5,3941.25,1.4,5518,"2500 Stück (525,50 Euro netto)"
11,3000,745.89,5594.175,1.4,7832,"3000 Stück (745,89 Euro netto)"
12,4000,819.34,6145.05,1.4,8603,"4000 Stück (819,34 Euro netto)"
13,5000,892.8,6696,1.4,9374,"5000 Stück (892,80 Euro netto)"
14,6000,1428.47,10713.525,1.3,13928,"6000 Stück (1428,47 Euro netto)"
15,7000,1517.77,11383.275,1.3,14798,"7000 Stück (1517,77 Euro netto)"
16,8000,1607.05,12052.875,1.3,15669,"8000 Stück (1607,05 Euro netto)"
17,9000,1696.32,12722.4,1.3,16539,"9000 Stück (1696,32 Euro netto)"
18,10000,1785.6,13392,1.3,17410,"10000 Stück (1785,60 Euro netto)"
