source_index,quantity,eur,dkk_base,tier_multiplier,dkk_final,li_text
0,50,39.93,299.475,1.5,449,"50 Stück (39,93 Euro netto)"
1,100,55.22,414.15,1.5,621,"100 Stück (55,22 Euro netto)"
2,150,70.53,528.975,1.5,793,"150 Stück (70,53 Euro netto)"
3,200,85.83,643.725,1.5,966,"200 Stück (85,83 Euro netto)"
4,250,104.15,781.125,1.5,1172,"250 Stück (104,15 Euro netto)"
5,500,182.94,1372.05,1.5,2058,"500 Stück (182,94 Euro netto)"
6,750,268.98,2017.35,1.5,3026,"750 Stück (268,98 Euro netto)"
7,1000,293.97,2204.775,1.5,3307,"1000 Stück (293,97 Euro netto)"
8,1500,453.05,3397.875,1.4,4757,"1500 Stück (453,05 Euro netto)"
9,2000,491.76,3688.2,1.4,5163,"2000 Stück (491,76 Euro netto)"
10,2500,530.46,3978.45,1.4,5570,"2500 Stück (530,46 Euro netto)"
11,3000,766.31,5747.325,1.4,8046,"3000 Stück (766,31 Euro netto)"
12,4000,844.93,6336.975,1.4,8872,"4000 Stück (844,93 Euro netto)"
13,5000,923.54,6926.55,1.4,9697,"5000 Stück (923,54 Euro netto)"
14,6000,1371.66,10287.45,1.3,13374,"6000 Stück (1371,66 Euro netto)"
15,7000,1446.33,10847.475,1.3,14102,"7000 Stück (1446,33 Euro netto)"
16,8000,1521.02,11407.65,1.3,14830,"8000 Stück (1521,02 Euro netto)"
17,9000,1595.7,11967.75,1.3,15558,"9000 Stück (1595,70 Euro netto)"
18,10000,1670.41,12528.075,1.3,16286,"10000 Stück (1670,41 Euro netto)"
