format,paper,quantity,list_price_dkk,price_dkk
A5,130g Silk,500,375,375
A5,130g Silk,750,427,427
A5,130g Silk,1000,427,427
A5,130g Silk,2000,576,576
A5,130g Silk,4000,792,792
A5,130g Silk,8000,1262,1262
A5,130g Silk,10000,1262,1262
A5,130g Silk,25000,2779,2779
A5,170g Silk,500,392,392
A5,170g Silk,750,460,460
A5,170g Silk,1000,460,460
A5,170g Silk,2000,652,652
A5,170g Silk,4000,1035,1035
A5,170g Silk,8000,1562,1562
A5,170g Silk,10000,1562,1562
A5,170g Silk,25000,3390,3390
