Format;Material;Finish;Quantity;Price (DKK)
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;2 Laschen, 4/4 farbig (Außen- und Innenseite bedruckt);3500;8717
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;2 Laschen, 4/4 farbig (Außen- und Innenseite bedruckt);4000;9153
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;2 Laschen, 4/4 farbig (Außen- und Innenseite bedruckt);4500;9587
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;2 Laschen, 4/4 farbig (Außen- und Innenseite bedruckt);5000;10030
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;2 Laschen, 4/4 farbig (Außen- und Innenseite bedruckt);6000;14072
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;2 Laschen, 4/4 farbig (Außen- und Innenseite bedruckt);7000;14751
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;2 Laschen, 4/4 farbig (Außen- und Innenseite bedruckt);8000;15429
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;2 Laschen, 4/4 farbig (Außen- und Innenseite bedruckt);9000;16098
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;2 Laschen, 4/4 farbig (Außen- und Innenseite bedruckt);10000;16777
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;50;1538
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;75;1602
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;100;1744
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;150;1944
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;200;1994
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;250;2044
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;300;2320
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;350;2366
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;400;2412
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;450;2458
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;500;2504
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;750;3300
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;1000;3566
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;1250;5382
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;1500;5641
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;1750;5900
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;2000;6159
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;2250;6418
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;2500;6677
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;3000;9758
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;3500;10274
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;4000;10789
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;4500;11305
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;5000;11811
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;6000;16903
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;7000;17744
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;8000;18594
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;9000;19445
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;10000;20295
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;50;1627
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;75;1696
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;100;1810
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;150;2075
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;200;2141
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;250;2207
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;300;2616
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;350;2684
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;400;2752
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;450;2821
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;500;2889
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;750;3931
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;1000;4278
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;1250;6668
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;1500;7009
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;1750;7350
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;2000;7691
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;2250;8032
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;2500;8373
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;3000;12436
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;3500;13114
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;4000;13792
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;4500;14470
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;5000;15149
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;6000;22203
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;7000;23379
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;8000;24554
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;9000;25730
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;10000;26906
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;50;1704
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;75;1776
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;100;1895
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;150;2173
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;200;2242
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;250;2387
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;300;2830
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;350;2903
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;400;2977
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;450;3051
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;500;3124
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;750;4251
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;1000;4627
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;1250;7435
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;1500;7815
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;1750;8195
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;2000;8576
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;2250;8956
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;2500;9333
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;3000;13864
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;3500;14624
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;4000;15384
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;4500;16135
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;5000;16894
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;6000;24753
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;7000;26065
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;8000;27376
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;9000;28688
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;10000;29999
DIN A4;0,40 mm starker Chromokarton 255g;3 Laschen, 4/4 farbig (Außen- und Innenseite bedruckt);50;491
DIN A4;0,40 mm starker Chromokarton 255g;3 Laschen, 4/4 farbig (Außen- und Innenseite bedruckt);75;637
DIN A4;0,40 mm starker Chromokarton 255g;3 Laschen, 4/4 farbig (Außen- und Innenseite bedruckt);100;783
DIN A4;0,40 mm starker Chromokarton 255g;3 Laschen, 4/4 farbig (Außen- und Innenseite bedruckt);150;1075
DIN A4;0,40 mm starker Chromokarton 255g;3 Laschen, 4/4 farbig (Außen- und Innenseite bedruckt);200;1367
DIN A4;0,40 mm starker Chromokarton 255g;3 Laschen, 4/4 farbig (Außen- und Innenseite bedruckt);250;1659
DIN A4;0,40 mm starker Chromokarton 255g;3 Laschen, 4/4 farbig (Außen- und Innenseite bedruckt);300;1952
DIN A4;0,40 mm starker Chromokarton 255g;3 Laschen, 4/4 farbig (Außen- und Innenseite bedruckt);350;2244
DIN A4;0,40 mm starker Chromokarton 255g;3 Laschen, 4/4 farbig (Außen- und Innenseite bedruckt);400;2536
DIN A4;0,40 mm starker Chromokarton 255g;3 Laschen, 4/4 farbig (Außen- und Innenseite bedruckt);450;2818
DIN A4;0,40 mm starker Chromokarton 255g;3 Laschen, 4/4 farbig (Außen- und Innenseite bedruckt);500;2880
DIN A4;0,40 mm starker Chromokarton 255g;3 Laschen, 4/4 farbig (Außen- und Innenseite bedruckt);750;3598
DIN A4;0,40 mm starker Chromokarton 255g;3 Laschen, 4/4 farbig (Außen- und Innenseite bedruckt);1000;3837
DIN A4;0,40 mm starker Chromokarton 255g;3 Laschen, 4/4 farbig (Außen- und Innenseite bedruckt);1250;5555
DIN A4;0,40 mm starker Chromokarton 255g;3 Laschen, 4/4 farbig (Außen- und Innenseite bedruckt);1500;5801
DIN A4;0,40 mm starker Chromokarton 255g;3 Laschen, 4/4 farbig (Außen- und Innenseite bedruckt);1750;6046
DIN A4;0,40 mm starker Chromokarton 255g;3 Laschen, 4/4 farbig (Außen- und Innenseite bedruckt);2000;6291
DIN A4;0,40 mm starker Chromokarton 255g;3 Laschen, 4/4 farbig (Außen- und Innenseite bedruckt);2250;6536
DIN A4;0,40 mm starker Chromokarton 255g;3 Laschen, 4/4 farbig (Außen- und Innenseite bedruckt);2500;6781
DIN A4;0,40 mm starker Chromokarton 255g;3 Laschen, 4/4 farbig (Außen- und Innenseite bedruckt);3000;9614
DIN A4;0,40 mm starker Chromokarton 255g;3 Laschen, 4/4 farbig (Außen- und Innenseite bedruckt);3500;10093
DIN A4;0,40 mm starker Chromokarton 255g;3 Laschen, 4/4 farbig (Außen- und Innenseite bedruckt);4000;10563
DIN A4;0,40 mm starker Chromokarton 255g;3 Laschen, 4/4 farbig (Außen- und Innenseite bedruckt);4500;11034
DIN A4;0,40 mm starker Chromokarton 255g;3 Laschen, 4/4 farbig (Außen- und Innenseite bedruckt);5000;11513
DIN A4;0,40 mm starker Chromokarton 255g;3 Laschen, 4/4 farbig (Außen- und Innenseite bedruckt);6000;17518
DIN A4;0,40 mm starker Chromokarton 255g;3 Laschen, 4/4 farbig (Außen- und Innenseite bedruckt);7000;18522
DIN A4;0,40 mm starker Chromokarton 255g;3 Laschen, 4/4 farbig (Außen- und Innenseite bedruckt);8000;19517
DIN A4;0,40 mm starker Chromokarton 255g;3 Laschen, 4/4 farbig (Außen- und Innenseite bedruckt);9000;20521
DIN A4;0,40 mm starker Chromokarton 255g;3 Laschen, 4/4 farbig (Außen- und Innenseite bedruckt);10000;21525
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;100;2170
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;150;2532
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;200;2622
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;250;2712
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;300;3183
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;350;3261
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;400;3339
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;450;3417
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;500;3496
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;750;4444
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;1000;4760
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;1250;7018
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;1500;7340
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;1750;7662
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;2000;7984
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;2250;8307
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;2500;8629
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;3000;12390
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;3500;13014
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;4000;13647
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;4500;14271
