Format;Material;Finish;Quantity;Price (DKK)
DIN A4;0,40 mm starker Chromokarton 255g;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);200;1367
DIN A4;0,40 mm starker Chromokarton 255g;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);250;1659
DIN A4;0,40 mm starker Chromokarton 255g;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);300;1952
DIN A4;0,40 mm starker Chromokarton 255g;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);350;2244
DIN A4;0,40 mm starker Chromokarton 255g;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);400;2536
DIN A4;0,40 mm starker Chromokarton 255g;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);450;2828
DIN A4;0,40 mm starker Chromokarton 255g;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);500;3073
DIN A4;0,40 mm starker Chromokarton 255g;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);750;3838
DIN A4;0,40 mm starker Chromokarton 255g;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);1000;4093
DIN A4;0,40 mm starker Chromokarton 255g;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);1250;5926
DIN A4;0,40 mm starker Chromokarton 255g;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);1500;6187
DIN A4;0,40 mm starker Chromokarton 255g;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);1750;6449
DIN A4;0,40 mm starker Chromokarton 255g;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);2000;6710
DIN A4;0,40 mm starker Chromokarton 255g;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);2250;6972
DIN A4;0,40 mm starker Chromokarton 255g;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);2500;7233
DIN A4;0,40 mm starker Chromokarton 255g;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);3000;10256
DIN A4;0,40 mm starker Chromokarton 255g;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);3500;10762
DIN A4;0,40 mm starker Chromokarton 255g;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);4000;11269
DIN A4;0,40 mm starker Chromokarton 255g;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);4500;11775
DIN A4;0,40 mm starker Chromokarton 255g;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);5000;12282
DIN A4;0,40 mm starker Chromokarton 255g;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);6000;18685
DIN A4;0,40 mm starker Chromokarton 255g;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);7000;19752
DIN A4;0,40 mm starker Chromokarton 255g;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);8000;20819
DIN A4;0,40 mm starker Chromokarton 255g;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);9000;21886
DIN A4;0,40 mm starker Chromokarton 255g;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);10000;22954
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);50;515
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);75;668
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);100;821
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);150;1126
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);200;1432
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);250;1795
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);300;2111
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);350;2427
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);400;2804
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);450;3120
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);500;3323
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);750;4151
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);1000;4426
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);1250;6607
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);1500;6899
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);1750;7190
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);2000;7482
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);2250;7773
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);2500;8065
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);3000;11441
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);3500;12001
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);4000;12562
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);4500;13132
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);5000;13693
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);6000;20837
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);7000;22022
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);8000;23216
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);9000;24410
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);10000;25595
DIN A4;0,36 mm starker Naturkarton 300g hochweiß;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);50;571
DIN A4;0,36 mm starker Naturkarton 300g hochweiß;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);75;745
DIN A4;0,36 mm starker Naturkarton 300g hochweiß;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);100;919
DIN A4;0,36 mm starker Naturkarton 300g hochweiß;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);150;1268
DIN A4;0,36 mm starker Naturkarton 300g hochweiß;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);200;1616
DIN A4;0,36 mm starker Naturkarton 300g hochweiß;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);250;2023
DIN A4;0,36 mm starker Naturkarton 300g hochweiß;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);300;2382
DIN A4;0,36 mm starker Naturkarton 300g hochweiß;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);350;2741
DIN A4;0,36 mm starker Naturkarton 300g hochweiß;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);400;3099
DIN A4;0,36 mm starker Naturkarton 300g hochweiß;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);450;3524
DIN A4;0,36 mm starker Naturkarton 300g hochweiß;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);500;3882
DIN A4;0,36 mm starker Naturkarton 300g hochweiß;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);750;5676
DIN A4;0,36 mm starker Naturkarton 300g hochweiß;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);1000;6118
DIN A4;0,36 mm starker Naturkarton 300g hochweiß;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);1250;8980
DIN A4;0,36 mm starker Naturkarton 300g hochweiß;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);1500;9370
DIN A4;0,36 mm starker Naturkarton 300g hochweiß;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);1750;9768
DIN A4;0,36 mm starker Naturkarton 300g hochweiß;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);2000;10165
DIN A4;0,36 mm starker Naturkarton 300g hochweiß;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);2250;10563
DIN A4;0,36 mm starker Naturkarton 300g hochweiß;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);2500;10961
DIN A4;0,36 mm starker Naturkarton 300g hochweiß;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);3000;15547
DIN A4;0,36 mm starker Naturkarton 300g hochweiß;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);3500;16315
DIN A4;0,36 mm starker Naturkarton 300g hochweiß;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);4000;17084
DIN A4;0,36 mm starker Naturkarton 300g hochweiß;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);4500;17844
DIN A4;0,36 mm starker Naturkarton 300g hochweiß;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);5000;18613
DIN A4;0,36 mm starker Naturkarton 300g hochweiß;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);6000;28317
DIN A4;0,36 mm starker Naturkarton 300g hochweiß;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);7000;29936
DIN A4;0,36 mm starker Naturkarton 300g hochweiß;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);8000;31555
DIN A4;0,36 mm starker Naturkarton 300g hochweiß;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);9000;33173
DIN A4;0,36 mm starker Naturkarton 300g hochweiß;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);10000;34792
DIN A4;0,36 mm starker Recyclingkarton 300g weiß;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);50;571
DIN A4;0,36 mm starker Recyclingkarton 300g weiß;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);75;745
DIN A4;0,36 mm starker Recyclingkarton 300g weiß;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);100;919
DIN A4;0,36 mm starker Recyclingkarton 300g weiß;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);150;1268
DIN A4;0,36 mm starker Recyclingkarton 300g weiß;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);200;1616
DIN A4;0,36 mm starker Recyclingkarton 300g weiß;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);250;2023
DIN A4;0,36 mm starker Recyclingkarton 300g weiß;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);300;2382
DIN A4;0,36 mm starker Recyclingkarton 300g weiß;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);350;2741
DIN A4;0,36 mm starker Recyclingkarton 300g weiß;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);400;3099
DIN A4;0,36 mm starker Recyclingkarton 300g weiß;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);450;3524
DIN A4;0,36 mm starker Recyclingkarton 300g weiß;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);500;3882
DIN A4;0,36 mm starker Recyclingkarton 300g weiß;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);750;5676
DIN A4;0,36 mm starker Recyclingkarton 300g weiß;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);1000;6118
DIN A4;0,36 mm starker Recyclingkarton 300g weiß;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);1250;8980
DIN A4;0,36 mm starker Recyclingkarton 300g weiß;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);1500;9370
DIN A4;0,36 mm starker Recyclingkarton 300g weiß;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);1750;9768
DIN A4;0,36 mm starker Recyclingkarton 300g weiß;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);2000;10165
DIN A4;0,36 mm starker Recyclingkarton 300g weiß;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);2250;10563
DIN A4;0,36 mm starker Recyclingkarton 300g weiß;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);2500;10961
DIN A4;0,36 mm starker Recyclingkarton 300g weiß;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);3000;15547
DIN A4;0,36 mm starker Recyclingkarton 300g weiß;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);3500;16315
DIN A4;0,36 mm starker Recyclingkarton 300g weiß;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);4000;17084
DIN A4;0,36 mm starker Recyclingkarton 300g weiß;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);4500;17844
DIN A4;0,36 mm starker Recyclingkarton 300g weiß;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);5000;18613
DIN A4;0,36 mm starker Recyclingkarton 300g weiß;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);6000;28317
DIN A4;0,36 mm starker Recyclingkarton 300g weiß;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);7000;29936
DIN A4;0,36 mm starker Recyclingkarton 300g weiß;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);8000;31555
DIN A4;0,36 mm starker Recyclingkarton 300g weiß;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);9000;33173
DIN A4;0,36 mm starker Recyclingkarton 300g weiß;Lasche, 4/4 farbig (Außen- und Innenseite bedruckt);10000;34792
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;100;2315
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;150;2700
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;200;2797
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;250;2893
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;300;3395
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;350;3478
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;400;3562
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;450;3645
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;500;3729
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;750;4740
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;1000;5077
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;1250;7486
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;1500;7829
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;1750;8173
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;2000;8517
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;2250;8860
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;2500;9198
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;3000;13213
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;3500;13883
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;4000;14552
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;4500;15221
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;5000;15890
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;6000;24265
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;7000;25667
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;8000;27060
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;9000;28461
DIN A4;0,40 mm starker Chromokarton 255g;Hochglanz-UV-Lack;10000;29854
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;Hochglanz-UV-Lack;100;2424
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;Hochglanz-UV-Lack;150;2828
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;Hochglanz-UV-Lack;200;2929
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;Hochglanz-UV-Lack;250;3129
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;Hochglanz-UV-Lack;300;3672
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;Hochglanz-UV-Lack;350;3762
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;Hochglanz-UV-Lack;400;3852
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;Hochglanz-UV-Lack;450;3943
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;Hochglanz-UV-Lack;500;4033
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;Hochglanz-UV-Lack;750;5127
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;Hochglanz-UV-Lack;1000;5491
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;Hochglanz-UV-Lack;1250;8347
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;Hochglanz-UV-Lack;1500;8730
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;Hochglanz-UV-Lack;1750;9107
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;Hochglanz-UV-Lack;2000;9487
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;Hochglanz-UV-Lack;2250;9876
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;Hochglanz-UV-Lack;2500;10256
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;Hochglanz-UV-Lack;3000;14733
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;Hochglanz-UV-Lack;3500;15483
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;Hochglanz-UV-Lack;4000;16225
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;Hochglanz-UV-Lack;4500;16976
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;Hochglanz-UV-Lack;5000;17717
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;Hochglanz-UV-Lack;6000;27060
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;Hochglanz-UV-Lack;7000;28615
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;Hochglanz-UV-Lack;8000;30171
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;Hochglanz-UV-Lack;9000;31726
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;Hochglanz-UV-Lack;10000;33291
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;100;2708
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;150;3160
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;200;3273
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;250;3386
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;300;4084
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;350;4200
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;400;4317
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;450;4433
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;500;4549
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;750;6053
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;1000;6554
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;1250;10111
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;1500;10618
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;1750;11124
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;2000;11631
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;2250;12137
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;2500;12644
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;3000;18631
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;3500;19635
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;4000;20629
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;4500;21624
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;5000;22628
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;6000;34648
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;7000;36655
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;8000;38654
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;9000;40662
DIN A4;0,40 mm starker Chromokarton 255g;partieller UV-Lack-Veredelung;10000;42661
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;100;2837
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;150;3309
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;200;3428
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;250;3662
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;300;4417
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;350;4543
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;400;4669
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;450;4795
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;500;4921
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;750;6547
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;1000;7089
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;1250;11269
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;1500;11839
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;1750;12408
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;2000;12969
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;2250;13539
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;2500;14100
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;3000;20774
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;3500;21886
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;4000;22999
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;4500;24111
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;5000;25224
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;6000;38636
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;7000;40870
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;8000;43104
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;9000;45338
DIN A4;0,36 mm starker Bilderdruckkarton 350g matt;partieller UV-Lack-Veredelung;10000;47571
