vert_label,category,finish,source_label,quantity,eur,dkk_base,tier_multiplier,dkk_final
UV-lak 250g,uv,UV-lak front,250g hochwertiger Qualitätsdruck mit einseitig exklusivem Hochglanz-UV-Lack,20000,1102.85,8271.375,1.4,11580
UV-lak 250g,uv,UV-lak front og bag,250g hochwertiger Qualitätsdruck mit beidseitig exklusivem Hochglanz-UV-Lack,500,111.92,839.4,1.6,1343
UV-lak 250g,uv,UV-lak front og bag,250g hochwertiger Qualitätsdruck mit beidseitig exklusivem Hochglanz-UV-Lack,1000,134.28,1007.1,1.6,1611
UV-lak 250g,uv,UV-lak front og bag,250g hochwertiger Qualitätsdruck mit beidseitig exklusivem Hochglanz-UV-Lack,1500,248.72,1865.4,1.6,2985
UV-lak 250g,uv,UV-lak front og bag,250g hochwertiger Qualitätsdruck mit beidseitig exklusivem Hochglanz-UV-Lack,2000,259.78,1948.35,1.6,3117
UV-lak 250g,uv,UV-lak front og bag,250g hochwertiger Qualitätsdruck mit beidseitig exklusivem Hochglanz-UV-Lack,2500,270.83,2031.225,1.5,3047
UV-lak 250g,uv,UV-lak front og bag,250g hochwertiger Qualitätsdruck mit beidseitig exklusivem Hochglanz-UV-Lack,3000,283.74,2128.05,1.5,3192
UV-lak 250g,uv,UV-lak front og bag,250g hochwertiger Qualitätsdruck mit beidseitig exklusivem Hochglanz-UV-Lack,4000,309.81,2323.575,1.5,3485
UV-lak 250g,uv,UV-lak front og bag,250g hochwertiger Qualitätsdruck mit beidseitig exklusivem Hochglanz-UV-Lack,5000,335.61,2517.075,1.5,3776
UV-lak 250g,uv,UV-lak front og bag,250g hochwertiger Qualitätsdruck mit beidseitig exklusivem Hochglanz-UV-Lack,6000,380.94,2857.05,1.5,4286
UV-lak 250g,uv,UV-lak front og bag,250g hochwertiger Qualitätsdruck mit beidseitig exklusivem Hochglanz-UV-Lack,7000,426.97,3202.275,1.5,4803
UV-lak 250g,uv,UV-lak front og bag,250g hochwertiger Qualitätsdruck mit beidseitig exklusivem Hochglanz-UV-Lack,8000,473.18,3548.85,1.5,5323
UV-lak 250g,uv,UV-lak front og bag,250g hochwertiger Qualitätsdruck mit beidseitig exklusivem Hochglanz-UV-Lack,9000,518.1,3885.75,1.5,5829
UV-lak 250g,uv,UV-lak front og bag,250g hochwertiger Qualitätsdruck mit beidseitig exklusivem Hochglanz-UV-Lack,10000,564.12,4230.9,1.5,6346
UV-lak 250g,uv,UV-lak front og bag,250g hochwertiger Qualitätsdruck mit beidseitig exklusivem Hochglanz-UV-Lack,15000,888.71,6665.325,1.4,9331
UV-lak 250g,uv,UV-lak front og bag,250g hochwertiger Qualitätsdruck mit beidseitig exklusivem Hochglanz-UV-Lack,20000,1268.25,9511.875,1.4,13317
