format,print_mode,material,quantity,eur,dkk_base,tier_multiplier,dkk_final,detail_url
21x21 salgsmappe med UV lak,4+0,"0,40 mm starker Chromokarton 255g für 5mm",750,305.34,2290.05,1.5,3435,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-hochglanzuvlack.html
21x21 salgsmappe med UV lak,4+0,"0,40 mm starker Chromokarton 255g für 5mm",1000,332.19,2491.425,1.5,3737,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-hochglanzuvlack.html
21x21 salgsmappe med UV lak,4+0,"0,40 mm starker Chromokarton 255g für 5mm",1500,510.47,3828.525,1.5,5743,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-hochglanzuvlack.html
21x21 salgsmappe med UV lak,4+0,"0,40 mm starker Chromokarton 255g für 5mm",2000,554.97,4162.275,1.5,6243,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-hochglanzuvlack.html
21x21 salgsmappe med UV lak,4+0,"0,40 mm starker Chromokarton 255g für 5mm",2500,599.47,4496.025,1.5,6744,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-hochglanzuvlack.html
21x21 salgsmappe med UV lak,4+0,"0,40 mm starker Chromokarton 255g für 5mm",3000,872.93,6546.975,1.4,9166,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-hochglanzuvlack.html
21x21 salgsmappe med UV lak,4+0,"0,40 mm starker Chromokarton 255g für 5mm",4000,964.07,7230.525,1.4,10123,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-hochglanzuvlack.html
21x21 salgsmappe med UV lak,4+0,"0,40 mm starker Chromokarton 255g für 5mm",5000,1055.24,7914.3,1.4,11080,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-hochglanzuvlack.html
21x21 salgsmappe med UV lak,4+4,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",100,198.01,1485.075,1.6,2376,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-44-farbig-aussen-und-innenseite-bedruckt-mit-hochglanzuvlack.html
21x21 salgsmappe med UV lak,4+4,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",150,220.65,1654.875,1.6,2648,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-44-farbig-aussen-und-innenseite-bedruckt-mit-hochglanzuvlack.html
